0.535625,0.642550,0.167227,0.440828,0.370166,0.937103,0.341698,0.345608,0.128897,0.406575,0.556304,0.054685
0.879414,0.898125,0.687280,0.398299,0.691817,0.840313,0.682338,0.589181,0.393841,0.832671,0.877944,0.325928
0.723703,0.169103,0.114400,0.205668,0.040133,0.290942,0.654372,0.923208,0.670022,0.066454,0.929395,0.950588
0.762210,0.444184,0.155612,0.634049,0.995370,0.367484,0.728609,0.348743,0.678852,0.476408,0.286233,0.586194
0.519882,0.429394,0.791628,0.481386,0.123283,0.746493,0.463261,0.970218,0.783112,0.579191,0.210141,0.719484
0.268678,0.216928,0.686750,0.996272,0.197285,0.255609,0.064750,0.145207,0.015543,0.217905,0.887236,0.308974
0.443714,0.589453,0.357303,0.564340,0.938593,0.840819,0.656466,0.469328,0.664514,0.675147,0.607263,0.943870
0.498979,0.139534,0.882890,0.802279,0.588039,0.705131,0.791207,0.120362,0.596443,0.685410,0.686030,0.062883
0.765039,0.674473,0.327774,0.325286,0.071467,0.538849,0.666816,0.650159,0.174712,0.369438,0.431292,0.867882
0.851421,0.558044,0.263822,0.203779,0.446291,0.440404,0.715251,0.775557,0.441390,0.555230,0.538948,0.671062
0.068578,0.827946,0.701116,0.698635,0.138438,0.422574,0.890454,0.976847,0.358453,0.796761,0.776323,0.713894
0.993648,0.985092,0.879530,0.117607,0.615390,0.457598,0.683802,0.956000,0.450699,0.958919,0.879015,0.497800
